"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
1,28 Oct 2011 18:54:00.000,28 Oct 2011 18:55:23.573,83.573
2,28 Oct 2011 19:37:48.302,28 Oct 2011 19:39:10.252,81.950

